_id,name,descraption,category,quentity,price,image,createdAt,updatedAt,__v
6873a6c648b60a1f28be057e,כינור חשמלי סטודנט בגודל 4/4 כולל הגברה,"כינור אקוסטי / חשמלי איכותי עשוי עץ מייפל וחלק עליון מעץ אשוחית. הכינור מגיע עם ארגז, קשת ושרף.\nכינור חשמלי עם אלקטרוניקה פסיבית הממוקמת מתחת לגשר וכוללת שליטה על הווליום והטון.",bow,10,579,STAG-VN-4_4-ELEC-26707-40468-600x600.webp,2025-07-13T12:29:58.559Z,2025-07-13T12:29:58.559Z,0
6873a74248b60a1f28be0585,כינור סטודנט בגודל 1/2,כינור סטודנטיאלי בגודל חצי עשוי עץ מייפל | מגיע עם תיק ואביזרים.\n\n,bow,10,464,STAG-VN-1_2-L-22369-13069-600x600.webp,2025-07-13T12:32:02.214Z,2025-07-13T12:32:02.214Z,0
6873a77148b60a1f28be0588,כינור סטודנט בגודל 1/4,כינור סטודנטיאלי בגודל רבע עשוי עץ מייפל | מגיע עם תיק ואביזרים.\n\n,bow,15,464,STAG-VN-1_4-13232-1907-600x600.webp,2025-07-13T12:32:49.632Z,2025-07-13T12:32:49.632Z,0
6873a7b848b60a1f28be058b,כינור סטודנט בגודל 4/4 בגימור Red,כינור סטודנטיאלי בגודל מלא עשוי עץ מייפל בגימור אדום | מגיע עם תיק ואביזרים.\n\n,bow,30,480,STAG-VN4_4-TR-19979-6890-600x600.webp,2025-07-13T12:34:00.882Z,2025-07-13T12:34:00.882Z,0
6873a7ec48b60a1f28be058e,כינור סטודנט גודל מלא Stagg | VN-4/4,כינור סטודנטיאלי בגודל מלא עשוי עץ מייפל | מגיע עם תיק ואביזרים.\n\n,bow,12,480,STAG-VN-4_4-13230_1-22715-600x600.webp,2025-07-13T12:34:52.414Z,2025-07-13T12:34:52.414Z,0
6873a82648b60a1f28be0591,כינור סטודנט בגודל 4/4 בגימור Black,כינור סטודנטיאלי בגודל מלא עשוי עץ מייפל בגימור שחור | מגיע עם תיק ואביזרים.\n\n,bow,12,480,STAG-VN4_4-TBK-19977-6885-600x600.webp,2025-07-13T12:35:50.515Z,2025-07-13T12:35:50.515Z,0
6873a8bc48b60a1f28be059a,צ'לו 4/4 מדגם L,"צ'לו סטודנטיאלי בגודל מלא, מתאים לנגנים מתחילים.\n\n",bow,2,1620,STAG-VNC-4_4-L-22373-13048-600x600.webp,2025-07-13T12:38:20.436Z,2025-07-13T12:38:20.436Z,0
6873a99da767aa51ca15d522,אורגנית The One מדגם COLOR ורוד,"מקלדת הקסמים – עקבו אחרי האורות שעל הקלידים ותתחילו לחקור את עולם המוסיקה בהנאה, בקלות וביעילות.\nעל תשכחו את החלום שלכם ללמוד לנגן, זה אף פעם לא מאוחר מדי.\nהאורגנית מדגם Color תנחה אתכם באמצעות הנורות האדומות וגם אתם תתחילו לנגן בתוך דקות.\n\nיותר מ-4000 דפי מוסיקה ועוד 100 וידואיים לימודיים ומחשקים מחכים לכם באפליקצייה החכמה של The One Smart Piano\n\nאורגנית בעיצוב מודרני, נקי ואלגנטי. שוקלת רק 3.5 ק״ג ועם יכולת קישור באמצעות Bluetooth.\nתוכלו ללמוד בכל מקום ובקלות היות וה- Color היא אורגנית מושלמת גם לניידות.",pianos,30,860,Pink-1-600x600.png.webp,2025-07-13T12:42:05.577Z,2025-07-13T12:42:05.577Z,0
6873a9e5a767aa51ca15d525,אורגן 5 אוקטבות Stagg | STK-100,"אורגנית איכותית 61 קלידים (5 אוקטבות). קלידים בצבע לבן שנהב בעלי מגע ולחיצה המדמים ריבאונד ברמה גבוהה באופן יחסי.\n\nמטרונום מקצועי מובנה שיעזור לכם לתרגל ולשמור על קצב.\n\nפונקצית ליווי שכוללת את עיקרון ה– אצבע הבודדת (Single Finger Chord) : באמצעות לחיצה על קליד בודד נקבל אקורד שלם המלווה אותנו באופן מהנה, קל ועזר ללימוד.\n\nמסך LCD אינטואטיבי בעל מראה נקי וברור שמעביר אינפורמציה באופן פונקציונאלי וידידותי למשתמש. \n\nמאפיינים עיקריים :\n\n•  61 קלידים\n•  300 צלילים / 300 מקצבים / 8 קלידים לכלי הקשה / 50 דוגמיות (Demo) / 3 אפשרויות לימוד\n•  פונקצית ה– אצבע הבודדת (Single Finger Chord)\n•  כולל פונקציית פיצול המקלדת ל 2 חצאים",pianos,15,380,stk-100-copy-600x600.webp,2025-07-13T12:43:17.142Z,2025-07-13T12:43:17.142Z,0
6873aa7ba767aa51ca15d528,פסנתר חשמלי 88 קלידים שחור,"פסנתר חשמלי בעיצוב אלגנטי, מינימליסטי עם 88 קלידים שקולים באיכות גבוהה, מוצר איכותי מבית Dexibell איטליה.\n\nפסנתר חשמלי בעיצוב אלגנטי, מינימליסטי תוצרת איטליה באיכות צליל מדהימה.\nפסנתרים חשמליים מסדרת VIVO מציעים איכות צליל מדהימה יחד עם עיצוב ייחודי, יפייפה, אלגנטי והכל תוצרת איטליה.\n\nהרעיון הוא לייצר פסנתר חשמלי שהוא חיקוי מושלם לפסנתר האקוסטי עם נשמה ועיצוב ייחודיים.\n\nה- H1 מעוצב באופן מינימליסטי עם מאפיינים מהעיצוב האיטלקי האלגנטי ומתהדר בטכנולוגיית צליל כמו של שאר הפסנתרים מסדרת ה- VIVO.\n\nטכנולוגיית הצליל האקסקלוסיבית מבית Dexibell הנקראת “True 2 Life”  או בקיצור T2L היא חלק מטכנולוגיה חדשנית פורצת דרך הודות לדברים הבאים :\n\nמאפיינים עיקריים :\n\n• פוליפוניה אינסופית\n• 88 קלידים שקולים\n• 7 דרגות רגישות קלידים\n• 6 אפקטים מובנים עצמאיים\n• יכולת הקלטה\n• יכולת כוונון גובה צליל• 48Khz ו 24 bit\n• גלי קול המוקלטים ביותר מ 15 שניות באיכות של 3D Surround\n• קומבינציה של “Sampling and Modelling” עם אלגוריטם ייחודי",pianos,1,8200,h1-01.jpg-600x600.webp,2025-07-13T12:45:47.195Z,2025-07-13T12:45:47.195Z,0
